0,9,57,73
1,100,28,98
2,26,15,45
3,23,21,73
4,100,79,50
5,51,85,41
6,26,11,18
7,67,95,59
8,4,42,85
9,34,71,80
10,77,21,11
11,22,97,33
12,27,67,32
13,89,71,93
14,81,56,86
15,2,4,77
16,98,59,18
17,57,40,96
18,42,94,91
19,2,86,11
20,19,78,67
21,33,43,46
22,83,70,88
23,82,39,92
24,18,13,67
25,84,43,6
26,28,32,44
27,37,90,31
28,19,100,46
29,70,88,40
30,89,12,64
31,87,1,35
32,35,93,54
33,71,35,66
34,23,68,62
35,18,87,100
36,74,44,42
37,40,4,50
38,1,45,49
39,93,67,2
40,100,14,96
41,86,65,26
42,9,41,62
43,87,88,59
44,84,56,18
45,27,9,93
46,5,30,69
47,79,56,29
48,84,60,74
49,53,52,22
50,56,44,85
51,99,81,47
52,26,52,43
53,18,52,80
54,21,50,7
55,30,0,10
56,90,56,91
57,50,82,24
58,48,25,97
59,88,30,67
60,1,96,36
61,44,92,62
62,44,61,96
63,56,65,7
64,10,51,89
65,46,85,14
66,70,88,77
67,54,92,22
68,72,74,24
69,68,79,73
70,45,40,37
71,87,21,17
72,98,5,66
73,7,97,58
74,43,45,92
75,54,7,42
76,80,55,24
77,36,25,30
78,52,8,13
79,48,69,70
80,60,91,22
81,26,42,55
82,82,17,91
83,7,11,86
84,34,38,41
85,35,56,49
86,71,38,30
87,87,72,67
88,79,11,97
89,60,55,53
90,85,48,64
91,7,82,10
92,88,80,79
93,98,38,36
94,7,99,93
95,60,51,66
96,52,43,75
97,15,90,3
98,24,90,24
99,8,0,58
100,48,35,71
101,93,24,60
102,65,30,25
103,66,74,13
104,8,8,19
105,18,29,95
106,4,35,53
107,48,60,7
108,40,32,74
109,25,78,55
110,28,75,21
111,33,66,44
112,67,18,82
113,86,50,14
114,56,7,99
115,7,86,56
116,73,32,28
117,87,28,86
118,49,53,14
119,19,54,76
120,73,4,53
121,30,1,74
122,73,29,80
123,28,84,72
124,10,56,80
125,44,31,33
126,44,60,34
127,44,15,19
128,34,13,4
129,33,89,78
130,32,77,13
131,62,2,54
132,57,37,58
133,96,10,55
134,29,86,19
135,69,8,17
136,13,39,45
137,37,52,28
138,4,63,2
139,54,39,75
140,67,75,38
141,43,0,39
142,50,69,45
143,87,55,27
144,4,65,93
145,78,52,11
146,71,15,18
147,41,69,90
148,99,10,11
149,53,32,62
150,9,25,87
151,81,33,74
152,8,48,30
153,74,97,6
154,9,27,35
155,44,40,94
156,36,2,8
157,63,42,73
158,75,40,16
159,6,1,70
160,20,89,75
161,7,20,99
162,62,42,63
163,52,53,9
164,52,6,64
165,83,74,92
166,75,9,45
167,97,14,86
168,76,9,4
169,13,80,6
170,0,22,98
171,22,66,21
172,13,69,61
173,48,87,77
174,99,52,35
175,39,15,48
176,55,35,46
177,33,58,12
178,54,82,26
179,0,68,69
180,18,36,55
181,53,78,3
182,19,60,59
183,89,47,44
184,66,28,69
185,58,70,67
186,9,100,19
187,25,78,36
188,61,2,45
189,28,20,29
190,68,29,50
191,98,82,63
192,58,69,14
193,23,13,89
194,29,20,38
195,74,48,61
196,94,97,29
197,49,37,83
198,34,23,4
199,25,3,49
200,7,18,93
201,80,82,4
202,22,75,23
203,2,40,75
204,22,100,2
205,0,6,93
206,65,87,78
207,23,70,37
208,11,67,90
209,30,57,72
210,98,17,14
211,85,81,56
212,60,19,12
213,35,55,78
214,46,100,99
215,30,23,4
216,31,31,69
217,40,9,20
218,69,14,19
219,76,2,94
220,54,33,64
221,64,5,84
222,34,19,64
223,88,49,39
224,5,9,46
225,97,97,26
226,31,68,64
227,18,10,20
228,11,23,3
229,92,11,79
230,13,73,80
231,54,90,0
232,21,27,97
233,60,91,0
234,13,81,12
235,98,41,80
236,61,64,78
237,87,95,94
238,88,7,53
239,29,12,75
240,28,70,81
241,56,16,72
242,39,45,0
243,87,32,35
244,29,26,89
245,96,32,53
246,84,86,8
247,47,64,41
248,4,21,68
249,89,98,49
250,33,67,72
251,75,85,24
252,9,92,2
253,14,76,61
254,1,89,60
255,37,55,32
256,96,81,90
257,91,26,23
258,80,97,75
259,12,27,24
260,10,35,59
261,33,26,37
262,31,50,42
263,30,46,26
264,7,7,56
265,99,76,48
266,68,65,13
267,61,21,49
268,75,89,89
269,97,60,84
270,65,95,79
271,96,74,95
272,15,31,42
273,58,82,8
274,59,59,100
275,77,69,34
276,40,99,47
277,54,36,79
278,65,63,99
279,65,8,73
280,41,89,8
281,100,78,44
282,14,23,60
283,33,39,31
284,53,71,50
285,32,50,11
286,63,17,87
287,82,91,38
288,94,9,89
289,94,59,25
290,46,96,40
291,59,58,8
292,9,49,8
293,90,54,98
294,49,76,71
295,7,31,67
296,79,94,87
297,30,100,78
298,31,25,67
299,81,13,38
300,64,71,61
301,49,37,2
302,82,92,74
303,49,30,13
304,48,3,68
305,89,64,34
306,91,55,72
307,37,71,30
308,40,32,96
309,95,24,78
310,4,86,56
311,47,74,17
312,95,84,48
313,78,16,32
314,44,56,3
315,67,6,38
316,65,65,33
317,61,34,48
318,47,75,80
319,88,96,82
320,6,45,30
321,72,12,47
322,80,32,79
323,33,60,97
324,57,14,40
325,86,89,44
326,25,96,47
327,50,30,21
328,14,17,4
329,48,82,86
330,86,34,75
331,78,35,10
332,14,38,55
333,23,49,60
334,73,17,10
335,13,64,45
336,10,69,38
337,57,25,56
338,99,82,47
339,78,40,14
340,13,72,70
341,5,34,69
342,59,25,22
343,23,39,20
344,34,83,41
345,31,54,5
346,52,36,43
347,17,83,96
348,74,73,74
349,4,32,18
350,72,80,5
351,73,21,32
